total_spins,total_wins,volitily,total_payout,avg_payout,total_bonus_spins,bonus_spin_prec,freq_Orange,freq_Apple,freq_Grape,freq_Strawberry,freq_Mango,freq_Banana,freq_Cherry,freq_Lemon,freq_Seven,freq_Bonus,freq_Multiplier,freq_Wild,multi_Orange,multi_Apple,multi_Grape,multi_Strawberry,multi_Mango,multi_Banana,multi_Cherry,multi_Lemon,multi_Seven,multi_Bonus
1500,1723,67.80000000000001,2305.2400000000043,1.3379222286709254,151,10.066666666666666,0.07878475611954718,0.1301055144523903,0.1281167759980583,0.057968941385128245,0.11269178838151472,0.04064105264642943,0.11732395967188154,0.0396408082041946,0.007816796351383722,0.05008719080543381,0.13182831905883033,0.10499409692520768,1.4,1.6,0.78,0.48,0.61,1.58,1.4,1.71,5,
1500,1681,64.66666666666666,2429.8499999999794,1.4454788816180721,278,18.53333333333333,0.03407743691986224,0.12114635946881167,0.0808086843966309,0.1295529510761207,0.05405871250631455,0.11282005674184174,0.10217536006086717,0.03459538236824689,0.0012024212700441144,0.08409878730736658,0.1157138458879581,0.1297500019959354,0.53,0.46,1.09,1.89,1.03,1.31,0.77,1.44,9,
1500,1837,70.39999999999999,2805.92000000001,1.5274469243331574,357,23.799999999999997,0.07832791285230638,0.06392575034982596,0.14619680844185629,0.12604033170158607,0.13825988085094595,0.026178565975473668,0.02588391003904052,0.06843375743352732,0.006641436419764716,0.09366760430177333,0.12287588800548845,0.10356815362841147,1.22,1.29,0.26,1.59,1.76,0.26,1.96,0.63,5,
1500,1605,62.866666666666674,2545.740000000009,1.586130841121501,190,12.666666666666668,0.01496985438687151,0.11539929385623689,0.13208160170303407,0.09433363370930754,0.07261097112654259,0.104495718042147,0.11563570349329537,0.059685763315760094,0.001792017681443434,0.06129594203510374,0.1167863254337892,0.11091317521646853,0.86,1.06,1.41,0.37,0.84,1.24,1.86,1.34,7,
1500,1376,59.73333333333334,4008.989999999951,2.913510174418569,470,31.333333333333336,0.051297240465619946,0.08178918071404703,0.08264894066734595,0.11384776001315408,0.07807398542151911,0.05365376731676179,0.01730519293156556,0.12196903682271182,0.006888264023217833,0.14741126677789362,0.15495685663112224,0.09015850821504102,0.43,1.68,0.34,1.68,0.32,1.55,1.34,1.17,13,
1500,1939,71.93333333333334,1833.3999999999933,0.9455389375966958,414,27.6,0.01313407163041042,0.16472131093400136,0.14111784102523522,0.006765722677320614,0.08527528491036812,0.06889915650362861,0.10523806954871216,0.09749265964365654,0.008196070948800274,0.10177402153904634,0.1285652528545321,0.07882053778428823,1.06,1.15,0.43,1.01,0.32,1.15,0.7,1.23,14,
1500,1661,65.73333333333333,1158.3100000000013,0.6973570138470808,374,24.933333333333334,0.03876422743233855,0.12258226956377824,0.04137501523657699,0.06777077794602195,0.11833345920648912,0.12612458815711455,0.12763072094915495,0.10110643860083379,0.005279741314247921,0.0990247638587826,0.06064868400908086,0.09135931372558047,0.75,0.32,1.52,0.72,1.29,0.95,0.57,0.58,6,
1500,2950,83.46666666666667,5303.600000000008,1.797830508474579,820,54.666666666666664,0.0643151596779614,0.02787640782312657,0.021115304417099884,0.17800616264389799,0.19527305095198236,0.057127459963582816,0.17430330551538661,0.024484746241508,0.0037683472626050835,0.1176747499337751,0.07640778054845619,0.05964752502061802,1.67,0.8,1.93,1.65,1.77,0.58,0.49,0.9,8,
1500,1981,70.13333333333334,4856.340000000028,2.4514588591620536,314,20.933333333333334,0.11126160535967092,0.16399394047308302,0.02156024283270106,0.11314349647602645,0.1325087850431198,0.07312480788637696,0.09152545820561186,0.0047923412335495975,0.004340288149410462,0.08010837965319166,0.12132660752137787,0.0823140471658802,1.88,1.82,0.81,1.95,1.11,1.25,1.91,1.52,12,
1500,2582,80.13333333333334,2665.939999999905,1.0325096824166944,652,43.46666666666666,0.16284136278872846,0.07110181535945911,0.021877109207119657,0.18645080643194403,0.05917415957987762,0.12444654960973153,0.14604630772276078,0.07050221780111826,0.0019143877037318322,0.11036965358337682,0.04047354718449192,0.004802083027659756,1.2,1.32,2.0,0.68,0.88,1.62,0.71,1.89,10,
1500,2153,75.26666666666667,2985.5799999999826,1.3867069205759326,300,20.0,0.058535971220878794,0.15352605661862231,0.014078035300245905,0.11298785735709116,0.044412860780544704,0.1328822104439183,0.13834702805782725,0.03700825201660223,0.0039433689481737505,0.07297754188188985,0.07067424179381102,0.16062657558039475,1.05,0.62,1.27,1.43,1.2,1.5,1.27,1.98,8,
1500,3541,86.73333333333333,4630.499999999963,1.3076814459192214,168,11.200000000000001,0.04849784510297743,0.1254559338716962,0.034617440393310266,0.03123910352704945,0.15937349908963663,0.04060772277883824,0.19744068897170775,0.03609616535311904,0.009938078056424663,0.027505764751189377,0.05901290441867941,0.23021485368537156,1.07,0.91,0.46,1.35,0.61,1.28,1.35,0.82,8,
1500,2070,74.26666666666667,3317.8599999999906,1.6028309178743916,137,9.133333333333333,0.14632352424884956,0.13958716086687867,0.09840538331743368,0.09647658297004301,0.08495923721925704,0.0037411985283191417,0.14433586131600407,0.06770929241093346,0.0015048693056075916,0.03531612559933759,0.06813018848250003,0.11351057573483622,1.88,1.39,1.34,0.76,1.3,0.63,0.45,1.77,12,
1500,1812,71.46666666666667,2780.5000000000273,1.5344922737306994,1431,95.39999999999999,0.11127671189346555,0.13377843104875714,0.014253891829771955,0.040114783121048346,0.01865619450306816,0.1215237949355757,0.14529588218040068,0.022329944110416486,0.008807719195398186,0.2134591665908589,0.10904806095168618,0.06145541963955288,0.67,1.35,1.87,0.22,0.92,1.24,1.55,1.15,5,
1500,3371,87.6,2390.0200000000277,0.7089943636903079,194,12.933333333333334,0.04728260053930232,0.188951223382236,0.07074782075838454,0.07190645550263931,0.002655469375224517,0.0676760346718304,0.19540929162883322,0.15263586715912184,0.005383833553454308,0.03439383539233168,0.15646507557519945,0.006492492461442493,1.03,0.92,0.84,1.43,0.84,1.37,0.4,1.03,5,
1500,2557,77.0,5089.89999999994,1.9905748924520688,100,6.666666666666667,0.02982658493985097,0.07134672464430292,0.07994172299877282,0.07183499025161826,0.17795103272494076,0.0037664804558674276,0.07243955937229235,0.06615849312935033,0.007191443351375724,0.0258716960856327,0.1973476401322228,0.19632363191377286,1.06,0.59,1.14,0.4,1.67,0.72,1.17,0.36,7,
